,company_name,industry_group,company_code,CIN code,industry_type,Defaulter,PAT/CE,PAT/sales,PBIT/sales,Cash Profits/TA,CR,QR,CFO/Debt,cash/CL,NWC/sales,INTCOV,Debt/Equity,cash/COS,NWC_cycle,Debtor_days,Creditor_days,RM_cycle,WIP_cycle,FG_cycle,NWC/TA,RE/TA,PBIR/TA,sales/TA,MVE/BVD
502,Insecticides (India) Ltd.,Pesticides,101113,L65991DL1996PLC083909,1,0,0.126786676,0.093606381,0.127329454,0.101023886,1.572775347,0.534137611,-0.195742304,0.000132573,0.241184972,13.4,1.029343664,7.95566E-05,3154,68.16,83.59,66.68,16.75,128.15,0.235202876,0.400150637,0.124171309,0.975197059,0.79
503,Inspira Enterprise India Pvt. Ltd.,Wholesale trading,477358,U40109MH2008PTC187215,1,0,0.070586876,0.027423698,0.04429982,,1.289035006,1.270235229,,0.000185219,0.132271095,3.63,,9.42285E-05,294.7,136.77,91.68,,,12.7,,,,,
504,Intellect Design Arena Ltd.,Computer software,468995,L72900TN2011PLC080183,1,0,0.036257078,0.048921785,0.067924584,0.054676386,1.971146339,,0.026929469,,0.298236731,2.38,0.51572984,,2002.6,123.91,386.48,,,,0.176947206,0.25760106,0.04030042,0.593311244,0.97
505,Ion Exchange (India) Ltd.,Industrial machinery,102548,L74999MH1964PLC014258,1,0,0.144650809,0.060299005,0.096556283,0.075271703,1.196876342,1.059051539,0.128573699,0.000669175,-0.062155334,7.23,2.185468145,0.000515695,-686.4,143.06,168.48,22.63,5.35,15.37,-0.057560714,0.257354421,0.08941869,0.926078425,1.21
506,Ipca Laboratories Ltd.,Drugs & pharmaceuticals,102576,L24239MH1949PLC007837,1,0,0.12703896,0.124708385,0.154932164,0.138470442,2.25362026,1.213085181,0.423992267,0.000749189,0.297717248,31.06,0.366112362,0.000243357,10860.1,61.4,99.85,164.07,34.12,49.84,0.2534428,0.714702114,0.131891725,0.851286922,0.99
507,Isagro (Asia) Agrochemicals Pvt. Ltd.,Pesticides,332043,U24299MH2001PTC133128,1,0,0.086710987,0.083658057,0.117969585,,3.508405555,2.582437089,,0.000730918,0.765888479,66.78,,0.00026463,2221,150.21,147.53,81.96,8.79,82.93,,,,,
508,Isgec Titan Metal Fabricators Pvt. Ltd.,Other ferrous metal products,543322,U28112HR2015PTC055874,1,0,0.153846154,0.054017094,0.075555556,,1.283870968,0.93640553,,0.000921659,0.080683761,5.07,,0.000378644,23.6,53.1,28.64,42.83,48.74,,,,,,
509,J B Chemicals & Pharmaceuticals Ltd.,Drugs & pharmaceuticals,103261,L24390MH1976PLC019380,1,0,0.12054,0.122242067,0.180234198,,1.989893186,1.718158314,,0.000261158,0.475485786,87.49,,0.000158341,7081.6,74.51,47.81,56.97,8.61,31.34,,,,,1
510,J B M Auto Ltd.,Other automobile ancillaries,103305,L74899DL1996PLC083073,1,0,0.072429215,0.049142938,0.075266764,0.079912462,0.90755458,0.683746676,0.093635276,0.000231925,-0.075528003,3,2.346323838,0.000161873,-751.7,102.01,94.16,48.61,22.32,0.68,-0.072469776,0.229296416,0.072219116,0.959508706,0.69
511,J B M Auto System Pvt. Ltd. [Merged],Other automobile ancillaries,250846,U34300DL1998PTC314334,1,0,0.082206391,0.044346259,0.068435451,0.111947036,1.227360515,0.898032904,0.106301448,0.000143062,0.068207478,3.92,1.262407281,4.78767E-05,628.3,65.27,71.47,39.94,8.08,2.79,0.099513756,0.402584855,0.099846366,1.458986015,
512,J K Fenner (India) Ltd.,Rubber products,381247,U24231TN1992PLC062306,1,0,0.079785517,0.077589745,0.128865606,0.113467503,1.580052592,1.262321563,0.19846811,0.000112697,0.145498877,5.26,0.53798973,4.21041E-05,1205.4,61.8,71.35,19.32,3.84,33.71,0.124215538,0.599097289,0.110015354,0.853721623,
513,J K Lakshmi Cement Ltd.,Cement,103848,L74999RJ1938PLC019511,1,0,0.025398082,0.020425768,0.027085451,0.059678399,0.717975379,0.481405304,0.267438072,0.001343372,-0.110847531,1.55,1.696430099,0.000483948,-4317.6,9.78,83.57,110.83,13.82,4.8,-0.105368225,0.3348643,0.02574659,0.950568987,0.67
514,J K Paper Ltd.,Paper & newsprint,103937,L21010GJ1960PLC018099,1,0,0.129157287,0.124897157,0.193107802,0.167153298,1.548675161,1.15474169,0.450358094,0.000268755,0.090256193,7.12,0.930393462,7.97917E-05,3159.4,9.74,51,72.89,3.07,15.11,0.080425215,0.340354905,0.172073914,0.891076961,0.61
522,J S W Infrastructure Ltd.,Transport logistics services,377019,U45200MH2006PLC161268,1,0,0.052521226,0.308848517,0.427395112,,8.046885035,8.040333976,,0.000385356,2.178713022,4.34,,0.000222916,5000.8,204.55,8097.99,339.95,,,,,,,
523,J S W Severfield Structures Ltd.,Other construction & allied activities,388109,U28112MH2009PLC191045,1,0,0.102574596,0.036179203,0.036257939,,1.093340202,1.001957466,,,0.011416724,2.36,,,87,85.53,144.43,24.46,,,,,,,
524,Jabalpur Transmission Co. Ltd.,Electricity transmission,397241,U40108DL2009PLC194057,1,0,0.002659404,0.01694432,0.01694432,0.031661344,0.162199823,,0.135350561,,-1.476355342,0.98,-21.99558351,,-3624.6,34.3,259.34,,,,-0.231044308,-0.14297006,0.002651725,0.156496408,
525,Jagran Prakashan Ltd.,Media-print,105523,L22219UP1975PLC004147,1,0,0.134540204,0.113363851,0.184781376,0.161822668,1.296918468,1.047996087,0.289024831,0.005273455,0.126230759,18.03,0.498804996,0.00217847,2448.7,104.43,41.97,54.43,,0.04,0.122789863,0.637472295,0.179744461,0.972741222,0.86
526,Jai Bharat Gum & Chemicals Ltd.,Other agricultural products,105687,U24119HR1996PLC032958,1,0,0.079209374,0.055387352,0.069259848,,3.180165289,2.137024793,,0.000495868,0.214382238,24.14,,5.41888E-05,1253.3,43.29,1.95,36.43,,11.51,,,,,
528,Jamnagar Utilities & Power Pvt. Ltd.,Conventional electricity,196793,U40100GJ1991PTC051130,1,0,0.011762799,0.038663322,0.130830149,0.202830073,8.17686509,8.049834751,0.382768529,,1.88958133,1.92,1.226983565,,87232.9,38.64,186.02,244.87,,,0.548027625,0.375039343,0.037944139,0.290025952,
529,Jamshedpur Utilities & Services Co. Ltd.,Industrial construction,350527,U45200JH2003PLC010315,1,0,0.327076968,0.040354357,0.060100706,,1.075623326,0.942382983,,4.75519E-05,0.139965713,8.57,,2.8415E-05,1559.4,92.05,109.52,40.7,34.41,,,,,,
531,Jasani India Pvt. Ltd.,Gems & jewellery,257071,U36900MH1973PTC016542,1,0,0.026120177,0.011886594,0.018400227,0.025741232,1.4588637,0.615974758,-0.16509443,4.32217E-05,0.166585377,2.26,3.110248355,1.62905E-05,2117.6,60.22,25.41,47.41,6.4,55.61,0.305376096,0.243077988,0.033730388,1.833150669,
532,Jawaharlal Nehru Port Trust,Diversified non-financial services,108007,,1,0,0.089143073,0.515505114,0.780946605,,,,,1.04917E-05,1.022487424,34.92,,5.28968E-05,18883.4,131.63,85.11,,,,,,,,
533,Jaya Hind Inds. Ltd.,Castings & forgings,108279,U74999PN1947PLC005480,1,0,0.012964158,0.265310893,0.262889868,0.014524841,4.595057993,4.269856278,0.740970435,6.30358E-05,0.233587123,14.4,0.021131253,1.77431E-05,1399,75.32,72.2,12.87,31.15,,0.011292166,0.373786839,0.012708732,0.048342417,
534,Jayant Agro-Organics Ltd.,Vegetable oils & products,108391,L24100MH1992PLC066691,1,0,0.100054767,0.058995218,0.091697199,0.111500945,1.842764402,0.541532485,0.289765416,5.11169E-05,0.176737254,6.66,0.638057345,1.39733E-05,1423,32.25,14.99,114.17,1.86,24.13,0.274318541,0.546169565,0.142325635,1.552126306,0.71
535,Jesons Industries Ltd.,Polymers,109274,U24295MH1999PLC122193,1,0,0.152692913,0.032094058,0.049716661,0.112192909,1.405016599,0.982294356,0.14425762,0.000122956,0.070119691,5.58,1.423340381,2.79361E-05,529.6,64.67,66.01,35.3,,6.48,0.184812954,0.379222501,0.13103713,2.635678392,
536,Jhajjar Power Ltd.,Conventional electricity,380746,U40104HR2008SGC037809,1,0,0.011173072,0.021268283,0.046710182,0.049956074,1.177946547,0.982968493,0.069336827,4.6056E-06,0.1659663,1.44,2.138481352,3.7366E-06,5225.2,109.22,81.37,47.23,,,0.073683305,-0.069129922,0.020737707,0.443965463,
538,Jindal Industries Pvt. Ltd.,Steel pipes & tubes,109804,U25207HR1972PTC006005,1,0,0.073507174,0.009764104,0.015540259,,1.516133152,0.934360633,,0.000595948,0.055419739,4.13,,6.9914E-05,1131.2,29.97,23.54,10.38,,15.63,,,,,
